MacAddress	Image	ManagementIP	Version	Name	Release	Build	To-Analyse	Patch	Imagename	IP	Notes	DataCenter	Name	AZZone	Use
00-14-22-01-23-45	ESXi-6.0.0-2494585-standard	10.1.0.1	6.0.0	ESXi 6.0 GA	12/03/2015	2494585	Yes	VMware-ESXi-6.0.0-2494585-depot	ESXi-6.0.0-2494585-standard	10.1.0.1	ESX Host	MD	ESX01		Live
00-14-22-01-23-46	ESXi-6.0.0-2494585-standard	10.1.0.1	6.0.0	ESXi 6.0 GA	12/03/2015	2494585	Yes	VMware-ESXi-6.0.0-2494585-depot	ESXi-6.0.0-2494585-standard	10.1.0.2	ESX Host	MD	ESX02		Live
00-14-22-01-23-47	ESXi-6.0.0-2494585-standard	10.1.0.1	6.0.0	ESXi 6.0 GA	12/03/2015	2494585	Yes	VMware-ESXi-6.0.0-2494585-depot	ESXi-6.0.0-2494585-standard	10.1.0.3	ESX Host	MD	ESX03		Live
										10.2.0.1	App Server	MD	HLA01		Live
										10.2.0.2	App Server	MD	HLA02		Live
										10.2.0.3	App Server	MD	HLA03		Live
										10.2.1.1	MongoDBServer	MD	HLDB01		Live
										10.2.1.2	MongoDBServer	MD	HLDB02		Live
										10.2.1.3	MongoDBServer	MD	HLDB03		Live
00-14-22-01-44-45	ESXi-6.0.0-2494585-standard	10.1.0.1	6.0.0	ESXi 6.0 GA	12/03/2015	2494585	Yes	VMware-ESXi-6.0.0-2494585-depot	ESXi-6.0.0-2494585-standard	172.1.0.1	ESX Host	WD	ESX01		Live
00-14-22-01-44-46	ESXi-6.0.0-2494585-standard	10.1.0.1	6.0.0	ESXi 6.0 GA	12/03/2015	2494585	Yes	VMware-ESXi-6.0.0-2494585-depot	ESXi-6.0.0-2494585-standard	172.1.0.2	ESX Host	WD	ESX02		Live
00-14-22-01-44-47	ESXi-6.0.0-2494585-standard	10.1.0.1	6.0.0	ESXi 6.0 GA	12/03/2015	2494585	Yes	VMware-ESXi-6.0.0-2494585-depot	ESXi-6.0.0-2494585-standard	172.1.0.3	ESX Host	WD	ESX03		Live
										172.2.0.1	App Server	WD	HLA01		Live
										172.2.0.2	App Server	WD	HLA02		Live
										172.2.0.3	App Server	WD	HLA03		Live
										172.2.1.1	MongoDBServer	WD	HLDB01		Live
										172.2.1.2	MongoDBServer	WD	HLDB02		Live
										172.2.1.3	MongoDBServer	WD	HLDB03		Live
00-14-22-22-34-45	ESXi-6.0.0-2494585-standard	10.1.0.1	6.0.0	ESXi 6.0 GA	12/03/2015	2494585	Yes	VMware-ESXi-6.0.0-2494585-depot	ESXi-6.0.0-2494585-standard	10.3.0.3	ESX Host	ISS	ESX01		Live
00-14-22-22-34-46	ESXi-6.0.0-2494585-standard	10.1.0.1	6.0.0	ESXi 6.0 GA	12/03/2015	2494585	Yes	VMware-ESXi-6.0.0-2494585-depot	ESXi-6.0.0-2494585-standard	10.3.0.4	ESX Host	ISS	ESX02		Live
00-14-22-22-34-47	ESXi-6.0.0-2494585-standard	10.1.0.1	6.0.0	ESXi 6.0 GA	12/03/2015	2494585	Yes	VMware-ESXi-6.0.0-2494585-depot	ESXi-6.0.0-2494585-standard	10.3.0.3	ESX Host	ISS	ESX03		Live
										10.4.0.1	App Server	ISS	HLA01		Live
										10.4.0.2	App Server	ISS	HLA02		Live
										10.4.0.3	App Server	ISS	HLA03		Live
										10.4.1.1	MongoDBServer	ISS	HLDB01		Live
										10.4.1.2	MongoDBServer	ISS	HLDB02		Live
										10.4.1.3	MongoDBServer	ISS	HLDB03		Live
											App Server	AMUS	HLA01	us-west-2	Test
											App Server	AMUS	HLA02	us-west-1	Test
											App Server	AMUS	HLA03	us-east-2	Test
											MongoDBServer	AMUS	HLDB01	us-west-2	Test
											MongoDBServer	AMUS	HLDB02	us-west-1	Test
											MongoDBServer	AMUS	HLDB03	us-east-2	Test
											App Server	AMUS	HLA01	us-west-2	Dev
											App Server	AMUS	HLA02	us-west-1	Dev
											App Server	AMUS	HLA03	us-east-2	Dev
											MongoDBServer	AMUS	HLDB01	us-west-2	Dev
											MongoDBServer	AMUS	HLDB02	us-west-1	Dev
											MongoDBServer	AMUS	HLDB03	us-east-2	Dev
